ADMIN 'admin@poetto.it','poetto'

LE PALMETTE 'beachreservation@lepalmette.it'

LIDO 'beachreservation@illido.it','lido'

D'ACQUILA 'beachreservation@dacquila.it','daquila'

EMERSON 'beachreservation@emerson.it','emerson'

PALM BEACH 'beachreservation@palmbeach.it','palmbeach'

FEDERICO 'federico@tiscali.it','federico'

GIULIA 'giulia@tiscali.it','giulia'

OMAR 'omar@tiscali.it','omar'

JINNY BEACH'beachreservation@jinnybeach.it','jinny'

LA MARINELLA 'beachreservation@lamarinella.it','marinella' 

OTTAGONO 'beachreservation@ottagono.it','ottagono'

LIDO MEDITERRANEO'beachreservation@lidomediterraneo.it','lido'

BEERBEACH 'beachreservation@beerbeach.it','beer'
